freq	power	ampl	char					
1.38E+00	1.70E-45	4.12E-23	4.84E-23					
1.40E+00	1.04E-45	3.23E-23	3.82E-23					
1.42E+00	6.90E-46	2.63E-23	3.13E-23					
1.45E+00	4.82E-46	2.19E-23	2.64E-23					
1.47E+00	3.51E-46	1.87E-23	2.27E-23					
1.49E+00	2.66E-46	1.63E-23	1.99E-23					
1.52E+00	2.07E-46	1.44E-23	1.77E-23					
1.54E+00	1.67E-46	1.29E-23	1.60E-23					
1.57E+00	1.38E-46	1.17E-23	1.47E-23					
1.59E+00	1.17E-46	1.08E-23	1.36E-23					
1.62E+00	1.02E-46	1.01E-23	1.28E-23					
1.65E+00	9.08E-47	9.53E-24	1.22E-23					
1.67E+00	8.35E-47	9.14E-24	1.18E-23					
1.70E+00	7.93E-47	8.91E-24	1.16E-23					
1.73E+00	7.82E-47	8.84E-24	1.16E-23					
1.75E+00	8.07E-47	8.98E-24	1.19E-23					
1.78E+00	8.81E-47	9.39E-24	1.25E-23					
1.81E+00	1.04E-46	1.02E-23	1.37E-23					
1.84E+00	1.37E-46	1.17E-23	1.59E-23					
1.87E+00	2.15E-46	1.47E-23	2.01E-23					
1.90E+00	4.72E-46	2.17E-23	3.00E-23					
1.93E+00	2.75E-45	5.25E-23	7.29E-23					
1.96E+00	6.79E-45	8.24E-23	1.15E-22					
2.00E+00	4.60E-46	2.15E-23	3.03E-23					
2.03E+00	1.45E-46	1.20E-23	1.71E-23					
2.06E+00	6.92E-47	8.32E-24	1.19E-23					
2.10E+00	4.07E-47	6.38E-24	9.24E-24					
2.13E+00	2.72E-47	5.22E-24	7.61E-24					
2.16E+00	1.98E-47	4.45E-24	6.55E-24					
2.20E+00	1.53E-47	3.91E-24	5.80E-24					
2.24E+00	1.24E-47	3.52E-24	5.26E-24					
2.27E+00	1.04E-47	3.22E-24	4.86E-24					
